Date,Strike(100%),Strike,Ticker,Bid,Ask,IVM_call,Volm_call,TTM_year,TTM,mid_price100%,mid_price_call,Bid_Put,Ask_Put,IVM_Put,Volm_Put,mid_price_Put100%,mid_price_put,spot_price(100%),spot_price,S_minus_K,lower_bound,upper_bound
2025/1/2,9.0,0.09,VIX 2/19/25 C9,0.09050000191,0.09300000191,94.5120163,38,0.131506849,48,51.90600824,0.519060082,0.0,0.0002,88.68953705,0,0.01,0.0001,17.93,0.1793,0.08929999999999999,0.09030000191,0.09300000191
2025/1/2,10.0,0.1,VIX 3/18/25 C10,0.0825,0.085,64.32936859,82,0.273972603,100,36.4146843,0.364146843,0.0,0.0002,62.26189041,0,0.01,0.0001,17.93,0.1793,0.07929999999999998,0.0823,0.085
2025/1/2,10.5,0.105,VIX 3/18/25 C10.5,0.0775,0.08,57.90264511,0,0.273972603,100,32.95132256,0.329513226,0.0,0.00030000001,61.34375381,0,0.015000001,0.00015,17.93,0.1793,0.07429999999999999,0.07719999999,0.08
2025/1/2,11.0,0.11,VIX 3/18/25 C11,0.0725,0.075,51.61922455,0,0.273972603,100,29.55961227,0.295596123,0.0,0.00030000001,56.81629944,0,0.015000001,0.00015,17.93,0.1793,0.06929999999999999,0.07219999999,0.075
2025/1/2,11.5,0.115,VIX 3/18/25 C11.5,0.06850000381,0.06949999809,54.00716019,0,0.273972603,100,30.47858,0.3047858,0.00010000001999999999,0.00039999999,51.00100708,0,0.025,0.00025,17.93,0.1793,0.06429999999999998,0.06810000382,0.06939999807
2025/1/2,12.5,0.125,VIX 1/22/25 C12.5,0.0525,0.05350000381,70.43681335,0,0.054794521,20,37.89340687,0.378934069,0.0,0.0002,74.7310791,1,0.01,0.0001,17.93,0.1793,0.05429999999999999,0.0523,0.05350000381
2025/1/2,12.5,0.125,VIX 2/19/25 C12.5,0.056999998090000004,0.058000001909999994,65.47085571,8,0.131506849,48,35.63542795,0.35635428,0.0002,0.00050000001,55.3240509,81,0.035,0.00035,17.93,0.1793,0.05429999999999999,0.05649999808,0.057800001909999996
2025/1/2,12.5,0.125,VIX 3/18/25 C12.5,0.05900000572,0.06,52.5243988,0,0.273972603,100,29.2621994,0.292621994,0.00059999999,0.00090000033,52.33519745,2,0.075000016,0.00075,17.93,0.1793,0.05429999999999999,0.05810000539,0.059400000009999995
2025/1/2,13.0,0.13,VIX 2/19/25 C13,0.051999998090000006,0.05300000191,59.30282593,1256,0.131506849,48,32.30141306,0.323014131,0.00050000001,0.00079999983,56.54157639,101,0.064999992,0.00065,17.93,0.1793,0.04929999999999998,0.051199998260000004,0.052500001899999996
2025/1/2,13.5,0.135,VIX 2/19/25 C13.5,0.0475,0.04850000381,59.84411621,89,0.131506849,48,32.3470583,0.323470583,0.0010000002400000001,0.0012999999500000001,58.22263718,266,0.11500001,0.00115,17.93,0.1793,0.04429999999999998,0.04620000005,0.04750000357
