Date,Strike(100%),Strike,Ticker,Bid,Ask,IVM_call,Volm_call,TTM_year,TTM,mid_price100%,mid_price_call,Bid_Put,Ask_Put,IVM_Put,Volm_Put,mid_price_Put100%,mid_price_put,spot_price(100%),spot_price
2025/1/2,10,0.1,VIX 9/17/25 C10,8.199999809,10.10000038,50.01914215,0,0.706849315,258,30.05957127,0.300595713,0,0.170000017,52.16884232,0,0.085000008,0.00085,17.93,0.1793
2025/1/2,10.5,0.105,VIX 9/17/25 C10.5,7.75,9.699999809,50.76881409,0,0.706849315,258,30.23440695,0.302344069,0,0.199999988,50.76708603,0,0.099999994,0.001,17.93,0.1793
2025/1/2,11,0.11,VIX 9/17/25 C11,7.300000191,9.199999809,48.04515839,0,0.706849315,258,28.6225791,0.286225791,0,0.25,50.25810623,0,0.125,0.00125,17.93,0.1793
2025/1/2,11.5,0.115,VIX 9/17/25 C11.5,6.850000381,8.75,46.68115234,0,0.706849315,258,27.71557617,0.277155762,0.01,0.310000002,42.05582428,0,0.160000001,0.0016,17.93,0.1793
2025/1/2,12,0.12,VIX 9/17/25 C12,6.399999619,8.300000191,45.15380859,0,0.706849315,258,26.72690439,0.267269044,0.050000001,0.350000024,41.37388229,0,0.200000012,0.002,17.93,0.1793
2025/1/2,12.5,0.125,VIX 9/17/25 C12.5,6.050000191,7.900000572,46.43054581,0,0.706849315,258,27.16527319,0.271652732,0.119999945,0.49000001,43.19195175,0,0.304999977,0.00305,17.93,0.1793
2025/1/2,13,0.13,VIX 9/17/25 C13,5.850000381,7.400000572,47.76693726,0,0.706849315,258,27.58346891,0.275834689,0.339999974,0.399999976,42.59200668,0,0.369999975,0.0037,17.93,0.1793
2025/1/2,13.5,0.135,VIX 9/17/25 C13.5,5.5,7.050000191,48.41688919,0,0.706849315,258,27.73344469,0.277334447,0.329999983,0.779999971,45.44604874,0,0.554999977,0.00555,17.93,0.1793
2025/1/2,14,0.14,VIX 9/17/25 C14,5.199999809,6.699999809,49.23054504,0,0.706849315,258,27.96527243,0.279652724,0.469999969,0.959999979,46.58603668,0,0.714999974,0.00715,17.93,0.1793
2025/1/2,14.5,0.145,VIX 9/17/25 C14.5,5.599999428,6.400000572,58.23010254,0,0.706849315,258,32.31505156,0.323150516,0.649999976,1.170000076,48.01514435,0,0.910000026,0.0091,17.93,0.1793
2025/1/2,15,0.15,VIX 9/17/25 C15,4.650000572,6.100000381,51.20966339,5,0.706849315,258,28.65483189,0.286548319,0.850000024,1.099999428,45.96805191,0,0.974999726,0.009749997,17.93,0.1793
2025/1/2,16,0.16,VIX 9/17/25 C16,4.199999809,5.599999428,53.59919739,4,0.706849315,258,29.59959841,0.295995984,1.5,1.920000076,53.73371887,0,1.710000038,0.0171,17.93,0.1793
2025/1/2,17,0.17,VIX 9/17/25 C17,3.850000381,5.150000572,55.98998642,3,0.706849315,258,30.5699935,0.305699935,2,2.510000229,55.68308258,1,2.255000114,0.022550001,17.93,0.1793
2025/1/2,18,0.18,VIX 9/17/25 C18,3.800000191,4.800000191,60.70167923,7,0.706849315,258,32.75083971,0.327508397,2.390000343,3.199999809,56.47630692,0,2.795000076,0.027950001,17.93,0.1793
2025/1/2,19,0.19,VIX 9/17/25 C19,3.5,4.449999809,62.25502014,0,0.706849315,258,33.35250998,0.3335251,3.349999428,3.850000381,60.85097504,5,3.599999905,0.035999999,17.93,0.1793
2025/1/2,20,0.2,VIX 9/17/25 C20,3.349999428,4.150000572,64.73344421,44,0.706849315,258,34.44172239,0.344417224,4.050000191,4.600000381,63.05334854,5,4.325000286,0.043250003,17.93,0.1793
2025/1/2,21,0.21,VIX 9/17/25 C21,3,3.850000381,64.97397614,1,0.706849315,258,34.41198826,0.344119883,4.400000572,5.350000381,61.81387329,0,4.875000477,0.048750005,17.93,0.1793
2025/1/2,22,0.22,VIX 9/17/25 C22,2.600000381,3.650000572,65.11727142,0,0.706849315,258,34.383636,0.34383636,5.100000381,6.150000572,63.27200317,0,5.625000477,0.056250005,17.93,0.1793
2025/1/2,23,0.23,VIX 9/17/25 C23,2.440000534,3.449999809,66.7272644,3,0.706849315,258,35.08863211,0.350886321,5.899999619,6.949999809,65.06124115,0,6.424999714,0.064249997,17.93,0.1793
2025/1/2,24,0.24,VIX 9/17/25 C24,2.489999771,3.25,69.62498474,7,0.706849315,258,36.43749237,0.364374924,6.650000572,7.75,66.04891968,0,7.200000286,0.072000003,17.93,0.1793
2025/1/2,25,0.25,VIX 9/17/25 C25,2.159999847,3.100000381,69.53284454,0,0.706849315,258,36.31642246,0.363164225,7.599999428,8.600000381,68.69547272,0,8.099999905,0.080999999,17.93,0.1793
2025/1/2,26,0.26,VIX 9/17/25 C26,2.049999237,2.900000572,70.49785614,5,0.706849315,258,36.69892836,0.366989284,8.300000191,9.449999809,69.01844025,0,8.875,0.08875,17.93,0.1793
2025/1/2,27,0.27,VIX 9/17/25 C27,1.940000534,2.770000458,71.76296997,5,0.706849315,258,37.26648521,0.372664852,9.100000381,10.30000019,69.87253571,0,9.700000286,0.097000003,17.93,0.1793
2025/1/2,28,0.28,VIX 9/17/25 C28,1.839999199,2.640000343,72.87213898,4,0.706849315,258,37.75606966,0.377560697,9.949999809,11.19999981,71.3130722,0,10.57499981,0.105749998,17.93,0.1793
2025/1/2,12,0.12,VIX 1/22/25 C12,5.75,5.850000381,78.59346771,200,0.054794521,20,42.22173405,0.42221734,0,0.02,82.24864197,0,0.01,1.00E-04,17.93,0.1793
2025/1/2,12.5,0.125,VIX 1/22/25 C12.5,5.25,5.350000381,70.43681335,0,0.054794521,20,37.89340687,0.378934069,0,0.02,74.7310791,1,0.01,1.00E-04,17.93,0.1793
2025/1/2,13,0.13,VIX 1/22/25 C13,4.75,4.849999428,62.60661316,1425,0.054794521,20,33.72830629,0.337283063,0.009999998,0.02,64.55870819,62,0.014999999,0.00015,17.93,0.1793
2025/1/2,13.5,0.135,VIX 1/22/25 C13.5,4.300000191,4.399999619,74.03055573,25,0.054794521,20,39.21527767,0.392152777,0.010000002,0.039999999,62.64266586,409,0.025,0.00025,17.93,0.1793
2025/1/2,14,0.14,VIX 1/22/25 C14,3.800000191,3.900000572,65.68571472,269,0.054794521,20,34.79285765,0.347928576,0.029999997,0.069999993,63.31069183,3474,0.049999995,0.0005,17.93,0.1793
2025/1/2,14.5,0.145,VIX 1/22/25 C14.5,3.350000381,3.449999809,66.78141785,116,0.054794521,20,35.11570883,0.351157088,0.079999983,0.120000005,65.41192627,15682,0.099999994,0.001,17.93,0.1793
2025/1/2,15,0.15,VIX 1/22/25 C15,2.980000496,3.050000191,72.50056458,1256,0.054794521,20,37.77528238,0.377752824,0.169999957,0.199999988,68.25072479,24961,0.184999973,0.00185,17.93,0.1793
2025/1/2,15.5,0.155,VIX 1/22/25 C15.5,2.600000381,2.670000076,74.09735107,108,0.054794521,20,38.38367558,0.383836756,0.310000002,0.340000033,72.66332245,3657,0.325000018,0.00325,17.93,0.1793
2025/1/2,16,0.16,VIX 1/22/25 C16,2.319999695,2.369999886,79.91325378,1002,0.054794521,20,41.14162683,0.411416268,0.50999999,0.550000012,78.42693329,9376,0.530000001,0.0053,17.93,0.1793
2025/1/2,16.5,0.165,VIX 1/22/25 C16.5,2.090000153,2.130000114,86.16136932,44,0.054794521,20,44.14568472,0.441456847,0.769999981,0.810000002,84.57444763,1175,0.789999992,0.0079,17.93,0.1793
2025/1/2,17,0.17,VIX 1/22/25 C17,1.880000114,1.920000076,91.2518158,1586,0.054794521,20,46.58590794,0.465859079,1.06000042,1.089999199,89.52326965,33953,1.074999809,0.010749998,17.93,0.1793
2025/1/2,17.5,0.175,VIX 1/22/25 C17.5,1.690000534,1.739999771,95.74456787,4370,0.054794521,20,48.74228382,0.487422838,1.369999886,1.409999847,94.15197754,4194,1.389999866,0.013899999,17.93,0.1793
2025/1/2,18,0.18,VIX 1/22/25 C18,1.539999962,1.579999924,100.2922592,2876,0.054794521,20,50.93612957,0.509361296,1.720000267,1.760000229,99.10623932,8810,1.740000248,0.017400002,17.93,0.1793
2025/1/2,18.5,0.185,VIX 1/22/25 C18.5,1.409999847,1.449999809,104.8657227,1652,0.054794521,20,53.15786123,0.531578612,2.079999924,2.130000114,103.4547577,269,2.105000019,0.02105,17.93,0.1793
2025/1/2,19,0.19,VIX 1/22/25 C19,1.300000191,1.340000153,109.3991852,3768,0.054794521,20,55.36959267,0.553695927,2.470000267,2.520000458,108.0553589,2241,2.495000362,0.024950004,17.93,0.1793
2025/1/2,19.5,0.195,VIX 1/22/25 C19.5,1.199999809,1.25,113.7856979,1234,0.054794521,20,57.51784897,0.57517849,2.869999886,2.920000076,112.1888351,31,2.894999981,0.02895,17.93,0.1793
2025/1/2,20,0.2,VIX 1/22/25 C20,1.119999886,1.159999847,117.8813705,10946,0.054794521,20,59.5206852,0.595206852,3.25,3.350000381,115.6991806,34,3.300000191,0.033000002,17.93,0.1793
2025/1/2,20.5,0.205,VIX 1/22/25 C20.5,1.050000191,1.090000153,122.1396027,865,0.054794521,20,61.61480141,0.616148014,3.699999809,3.799999237,121.2870865,4,3.749999523,0.037499995,17.93,0.1793
2025/1/2,21,0.21,VIX 1/22/25 C21,0.980000019,1.029999733,126.0365448,3594,0.054794521,20,63.53327227,0.635332723,4.150000572,4.199999809,124.5830078,34,4.175000191,0.041750002,17.93,0.1793
2025/1/2,21.5,0.215,VIX 1/22/25 C21.5,0.930000007,0.970000029,129.9929352,141,0.054794521,20,65.4814676,0.654814676,4.600000381,4.650000572,128.9288788,1,4.625000477,0.046250005,17.93,0.1793
2025/1/2,22,0.22,VIX 1/22/25 C22,0.889999986,0.930000007,134.4532776,2673,0.054794521,20,67.6916388,0.676916388,5.050000191,5.100000381,132.7532806,31,5.075000286,0.050750003,17.93,0.1793
2025/1/2,22.5,0.225,VIX 1/22/25 C22.5,0.839999974,0.879999995,137.7502899,169,0.054794521,20,69.31514496,0.69315145,5.5,5.550000191,136.0931549,4,5.525000095,0.055250001,17.93,0.1793
2025/1/2,23,0.23,VIX 1/22/25 C23,0.810000002,0.850000024,142.0627747,10504,0.054794521,20,71.45638734,0.714563873,5.949999809,6.050000191,140.8269348,30,6,0.06,17.93,0.1793
2025/1/2,23.5,0.235,VIX 1/22/25 C23.5,0.779999971,0.819999993,146.020752,35,0.054794521,20,73.42037597,0.73420376,6.400000572,6.5,143.3394165,0,6.450000286,0.064500003,17.93,0.1793
2025/1/2,9,0.09,VIX 2/19/25 C9,9.050000191,9.300000191,94.5120163,38,0.131506849,48,51.90600824,0.519060082,0,0.02,88.68953705,0,0.01,1.00E-04,17.93,0.1793
2025/1/2,10,0.1,VIX 2/19/25 C10,8.050000191,8.350000381,88.28230286,650,0.131506849,48,48.31615162,0.483161516,0,0.02,76.55163574,650,0.01,1.00E-04,17.93,0.1793
2025/1/2,10.5,0.105,VIX 2/19/25 C10.5,7.550000191,7.850000381,81.03543091,3,0.131506849,48,44.44271564,0.444427156,0.010000002,0.02,68.13258362,0,0.015000001,0.00015,17.93,0.1793
2025/1/2,11,0.11,VIX 2/19/25 C11,7.050000191,7.350000381,74.13723755,0,0.131506849,48,40.74361897,0.40743619,0.009999998,0.02,62.91575241,2,0.014999999,0.00015,17.93,0.1793
